genus,species,genome,old_taxid,new_taxid,species_has_match,new_in_match,reclassified
Salmonella,enterica,GCF_001275185.1,28901,57045,True,True,False
Salmonella,enterica,GCF_000806785.1,59201,611,True,True,False
Salmonella,enterica,GCF_001275215.1,28901,611,True,True,False
Salmonella,enterica,GCF_000806965.1,59201,611,True,True,False
Salmonella,enterica,GCF_000807045.1,59201,595,True,True,False
Salmonella,enterica,GCF_000806985.1,59201,595,True,True,False
Salmonella,enterica,GCF_000807055.1,59201,260680,True,True,False
Salmonella,enterica,GCF_000807125.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000806685.1,59201,98360,True,True,False
Salmonella,enterica,GCF_000806505.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000806475.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000878845.1,59201,2077273,True,True,False
Salmonella,enterica,GCF_001456395.1,59201,1151183,True,True,False
Salmonella,enterica,GCF_000807035.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000806945.1,59201,98360,True,True,False
Salmonella,enterica,GCF_001456405.1,59201,149539,True,True,False
Salmonella,enterica,GCF_000806705.1,59201,179997,True,True,False
Salmonella,enterica,GCF_000806605.1,59201,58095,True,True,False
Salmonella,enterica,GCF_000806865.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000807025.1,59201,28150,True,True,False
Salmonella,enterica,GCF_000807005.1,59201,595,True,True,False
Salmonella,enterica,GCF_000772635.1,59201,115981,True,True,False
Salmonella,enterica,GCF_000336035.1,687860,98360,True,True,False
Salmonella,enterica,GCF_000806645.1,59201,149387,True,True,False
Staphylococcus,aureus,GCF_000418345.1,1321369,1280,True,True,False
Stenotrophomonas,maltophilia,GCF_000613205.1,1407502,2045451,True,True,False
Streptococcus,oralis,GCF_000960035.1,28037,1891914,True,False,True
Streptococcus,oralis,GCF_000959975.1,28037,1891914,True,False,True
Streptococcus,parasanguinis,GCF_000963285.1,1305,1318,True,False,True
Streptococcus,pneumoniae,GCF_001147205.1,1313,257758,True,True,False
Streptococcus,pneumoniae,GCF_001206055.1,1313,257758,True,True,False
Streptococcus,pneumoniae,GCF_001339755.1,1313,257758,True,True,False
Streptococcus,pneumoniae,GCF_001337855.1,1313,257758,True,True,False
Streptococcus,pneumoniae,GCF_001115245.1,1313,257758,True,True,False
